,FileName,XMin,XMax,YMin,YMax,ClassName,Prob
0,0045dd96bf73936c.jpg,266,122,1064,614,Dog,0.8679857850074768
1,0045dd96bf73936c.jpg,0,122,61,266,Person,0.8555243015289307
2,00934904547ee267.jpg,555,0,588,50,Person,0.9361507296562195
3,00934904547ee267.jpg,521,100,555,269,Person,0.8479790091514587
4,009eebcdf1a0f58f.jpg,102,81,593,920,Dog,0.8331400156021118
5,00b1a8b1563a2ed1.jpg,40,81,634,737,Person,0.9910690784454346
6,00b1a8b1563a2ed1.jpg,184,0,286,204,Person,0.8550840616226196
7,00d72a4730f27b4f.jpg,81,184,778,921,Person,0.9789078831672668
8,00d72a4730f27b4f.jpg,0,184,81,573,Person,0.9733613133430481
9,00d72a4730f27b4f.jpg,307,860,348,983,Person,0.9410743713378906
10,00d72a4730f27b4f.jpg,184,245,696,737,Person,0.913529098033905
11,00d72a4730f27b4f.jpg,102,0,184,102,Person,0.8615015745162964
12,012fc5c316f6e417.jpg,109,354,1010,1037,Dog,0.9265632629394531
13,012fc5c316f6e417.jpg,0,819,109,1010,Person,0.8400694131851196
14,012fc5c316f6e417.jpg,245,109,300,273,Person,0.828241765499115
15,012fc5c316f6e417.jpg,0,955,109,1010,Person,0.8276776075363159
16,0163bb5754d8b97f.jpg,0,91,764,637,Cat,0.8070613145828247
17,01798749f61eacf3.jpg,0,0,942,778,Cat,0.9770753383636475
18,01f547785ec7ae1a.jpg,0,40,757,614,Cat,0.9021620154380798
19,01fa0b3c5ce9fb1f.jpg,450,61,512,143,Cat,0.8681705594062805
20,0237ea536fc1894a.jpg,0,289,101,520,Person,0.9482371211051941
21,0237ea536fc1894a.jpg,0,115,534,462,Person,0.8866127133369446
22,02881bf75cbb6eb8.jpg,0,64,1306,813,Dog,0.8325644731521606
23,0351c91b732780b5.jpg,0,54,708,799,Cat,0.9945276379585266
24,0351c91b732780b5.jpg,127,90,926,671,Cat,0.8984518647193909
25,03e4b650a3ab86d8.jpg,491,225,573,389,Person,0.9401663541793823
26,03e4b650a3ab86d8.jpg,512,245,573,348,Person,0.8913270831108093
27,03e4b650a3ab86d8.jpg,348,184,450,348,Person,0.8209326863288879
28,03e4b650a3ab86d8.jpg,184,450,286,655,Person,0.8194088339805603
29,048873e29dc11e48.jpg,0,163,682,1010,Cat,0.9794470071792603
30,048873e29dc11e48.jpg,191,109,628,709,Cat,0.8416392207145691
31,04cd0152368cdf0e.jpg,259,99,939,679,Person,0.9643032550811768
32,04cd0152368cdf0e.jpg,279,419,739,679,Person,0.8651221990585327
33,04cd0152368cdf0e.jpg,259,359,359,559,Person,0.8565587401390076
34,04cd0152368cdf0e.jpg,0,479,159,599,Person,0.8262417912483215
35,0553b2434e79ee99.jpg,327,518,436,709,Person,0.880588710308075
36,05a49be629733d62.jpg,20,421,763,883,Person,0.9843463897705078
37,05a49be629733d62.jpg,642,60,722,180,Person,0.8297236561775208
38,05a49be629733d62.jpg,441,883,522,963,Person,0.8198193311691284
39,05a49be629733d62.jpg,301,80,361,160,Person,0.8132045269012451
40,05c2162593cbad93.jpg,0,90,799,708,Cat,0.9959191679954529
41,0639ba84e8986438.jpg,163,389,225,471,Person,0.9420809149742126
42,0639ba84e8986438.jpg,675,61,1044,675,Person,0.9351108074188232
43,0639ba84e8986438.jpg,655,122,716,225,Person,0.9333296418190002
44,0639ba84e8986438.jpg,716,20,737,61,Person,0.9077593684196472
45,0639ba84e8986438.jpg,737,40,757,61,Person,0.9073567986488342
46,0639ba84e8986438.jpg,552,40,573,61,Person,0.8995486497879028
47,0639ba84e8986438.jpg,491,430,593,675,Person,0.8824192881584167
48,0639ba84e8986438.jpg,327,0,368,81,Person,0.8572965264320374
49,0639ba84e8986438.jpg,819,0,901,143,Person,0.8486737608909607
50,0639ba84e8986438.jpg,614,122,634,163,Person,0.8374829888343811
51,0639ba84e8986438.jpg,163,389,245,512,Person,0.8316777944564819
52,063cefa2a5d1f2dd.jpg,0,20,102,184,Person,0.9591140151023865
53,063cefa2a5d1f2dd.jpg,20,40,491,798,Person,0.8933165669441223
54,06b2266d9c1edf80.jpg,0,35,972,583,Cat,0.9995868802070618
55,06fc413ff418ccee.jpg,0,200,655,1019,Person,0.9920269846916199
56,06fc413ff418ccee.jpg,200,655,273,710,Person,0.9101725220680237
57,06fc413ff418ccee.jpg,0,127,546,692,Cat,0.8868989944458008
58,086149c0da009cb3.jpg,151,453,537,924,Dog,0.9605152606964111
59,086149c0da009cb3.jpg,184,537,268,756,Person,0.9461150765419006
60,086149c0da009cb3.jpg,184,520,235,688,Person,0.9335888624191284
61,086149c0da009cb3.jpg,201,856,252,907,Person,0.8767067193984985
62,086149c0da009cb3.jpg,184,453,252,554,Person,0.8637070655822754
63,086149c0da009cb3.jpg,151,285,604,940,Person,0.8361978530883789
64,086149c0da009cb3.jpg,184,856,235,924,Person,0.802020788192749
65,095e2f4ccfe3c749.jpg,81,20,1269,675,Cat,0.9840338230133057
66,09a14531bbd6fa54.jpg,225,122,880,737,Dog,0.9973325729370117
67,09a14531bbd6fa54.jpg,0,40,593,798,Dog,0.8411973714828491
68,09a14531bbd6fa54.jpg,348,163,901,696,Cat,0.8117507100105286
69,0a57d928bb160ca4.jpg,181,36,1180,454,Person,0.9654391407966614
70,0a57d928bb160ca4.jpg,926,18,980,90,Person,0.9304996728897095
71,0b220056117f86ac.jpg,326,90,708,635,Person,0.9283825755119324
72,0d247adaa87e4587.jpg,0,204,614,962,Cat,0.9739935398101807
73,0d247adaa87e4587.jpg,0,204,696,634,Cat,0.9192692637443542
74,0d247adaa87e4587.jpg,0,266,675,839,Dog,0.9197111129760742
75,0d2d7a4b9d7890a3.jpg,102,244,734,1040,Person,0.8397126793861389
76,0d38dce908f3e764.jpg,145,0,709,672,Dog,0.9844426512718201
77,0d38dce908f3e764.jpg,327,18,1018,672,Dog,0.8955920934677124
78,0d56a67af33330bd.jpg,799,254,853,363,Person,0.9439973831176758
79,0d56a67af33330bd.jpg,817,363,889,508,Person,0.8839340209960938
80,0dcbcc3547b05310.jpg,143,0,184,61,Person,0.8994841575622559
81,0dcd8cc4b35a93b4.jpg,274,348,421,439,Cat,0.9833639860153198
82,0dcd8cc4b35a93b4.jpg,531,274,842,604,Cat,0.9449228048324585
83,0dcd8cc4b35a93b4.jpg,457,219,1025,641,Cat,0.8707038164138794
84,0dcd8cc4b35a93b4.jpg,0,0,18,54,Person,0.8693975210189819
85,0e1846dd2e74f52e.jpg,397,216,632,596,Person,0.9313533306121826
86,0e1846dd2e74f52e.jpg,379,253,542,687,Person,0.9244526624679565
87,0e1846dd2e74f52e.jpg,488,307,578,524,Person,0.8933306336402893
88,0e1846dd2e74f52e.jpg,470,235,650,524,Person,0.8734381198883057
89,0e1846dd2e74f52e.jpg,415,433,470,668,Person,0.8141732215881348
90,0f51bd348361f5ee.jpg,0,40,819,778,Cat,0.9918504357337952
91,0f725206eab0f6c0.jpg,401,19,879,764,Person,0.9975014328956604
92,0f725206eab0f6c0.jpg,497,19,707,592,Person,0.9449737071990967
93,0f725206eab0f6c0.jpg,439,76,630,573,Person,0.8569249510765076
94,0f725206eab0f6c0.jpg,210,344,363,535,Person,0.8515121340751648
95,0f725206eab0f6c0.jpg,650,76,745,363,Person,0.8478466868400574
96,0f7faea6baeeb900.jpg,200,91,657,639,Cat,0.8942866325378418
97,0f7faea6baeeb900.jpg,73,200,949,694,Cat,0.8398243188858032
98,0fbbdad4d71972ca.jpg,54,400,437,1092,Person,0.9958845973014832
99,0fbbdad4d71972ca.jpg,91,54,601,837,Person,0.9834797382354736
100,0fbbdad4d71972ca.jpg,18,455,273,1019,Person,0.9611053466796875
101,0fbbdad4d71972ca.jpg,72,582,601,1038,Person,0.94829261302948
102,0fbbdad4d71972ca.jpg,163,582,418,1019,Person,0.9479052424430847
103,0fbbdad4d71972ca.jpg,109,254,437,655,Dog,0.8648144602775574
104,0fbde977805fd231.jpg,344,18,1013,615,Cat,0.996457040309906
105,0fbde977805fd231.jpg,0,235,905,688,Cat,0.8963848352432251
106,0fbde977805fd231.jpg,0,0,615,633,Dog,0.9007532000541687
107,0fcb943c692266aa.jpg,0,0,748,511,Cat,0.996649444103241
108,0fcb943c692266aa.jpg,18,36,456,602,Cat,0.8460749387741089
109,0fd06de061645bd6.jpg,0,0,798,983,Cat,0.999800980091095
110,0fd06de061645bd6.jpg,409,143,552,266,Dog,0.9512730240821838
111,0fd06de061645bd6.jpg,430,163,655,286,Dog,0.8179957866668701
112,1037108ac77e8746.jpg,327,18,819,655,Cat,0.9492693543434143
113,1114879e9306aba2.jpg,61,122,737,593,Person,0.977288544178009
114,1114879e9306aba2.jpg,40,81,532,860,Person,0.9383184313774109
115,1114879e9306aba2.jpg,20,839,61,901,Person,0.9023757576942444
116,1114879e9306aba2.jpg,348,184,430,286,Person,0.8873763084411621
117,1114879e9306aba2.jpg,348,143,450,348,Person,0.8368554711341858
118,1114879e9306aba2.jpg,0,839,61,921,Person,0.8081846237182617
119,11c52ac65671fac4.jpg,20,184,1105,696,Person,0.9131669402122498
120,11c52ac65671fac4.jpg,675,245,983,512,Person,0.8904101252555847
121,11c52ac65671fac4.jpg,40,307,122,348,Person,0.8629452586174011
122,11c52ac65671fac4.jpg,593,307,634,389,Person,0.8608125448226929
123,11c52ac65671fac4.jpg,573,266,634,430,Person,0.809454619884491
124,126e0ddc3da16de5.jpg,20,143,634,614,Dog,0.8402405381202698
125,12df40327bd4e907.jpg,737,450,757,552,Person,0.8883472681045532
126,139d4bcbba87bdda.jpg,72,72,544,835,Person,0.9869081974029541
127,139d4bcbba87bdda.jpg,326,526,399,817,Person,0.8860489130020142
128,139d4bcbba87bdda.jpg,36,381,581,980,Person,0.864790678024292
129,1429363900095dcf.jpg,595,556,614,614,Person,0.8641250729560852
130,1429363900095dcf.jpg,633,191,710,307,Person,0.8133222460746765
131,1429363900095dcf.jpg,595,422,691,575,Dog,0.8220539093017578
132,146b7934739258cd.jpg,0,122,552,778,Person,0.8774423003196716
133,15ba32c3bc1a97d6.jpg,298,54,760,1005,Person,0.8777235150337219
134,15ba32c3bc1a97d6.jpg,353,27,407,81,Person,0.8701682090759277
135,15ba32c3bc1a97d6.jpg,298,27,326,81,Person,0.8665311932563782
136,15ba32c3bc1a97d6.jpg,271,0,326,81,Person,0.8383916616439819
137,15ba32c3bc1a97d6.jpg,244,543,434,951,Dog,0.887860119342804
138,15decb721038df90.jpg,184,184,245,327,Person,0.9396660327911377
139,15decb721038df90.jpg,327,245,430,532,Person,0.9138481616973877
140,15decb721038df90.jpg,942,225,1003,430,Person,0.8943982124328613
141,15decb721038df90.jpg,184,204,225,307,Person,0.8458236455917358
142,165d4c804fdbea3c.jpg,266,81,921,696,Cat,0.9188988208770752
143,165d4c804fdbea3c.jpg,40,20,102,102,Person,0.8029178380966187
144,169c5841da97c310.jpg,265,613,368,756,Person,0.9366791248321533
145,169c5841da97c310.jpg,490,327,756,838,Person,0.8484266400337219
146,169c5841da97c310.jpg,286,593,409,736,Person,0.8234261870384216
147,16ce13371b61f953.jpg,763,491,891,581,Person,0.8207828998565674
148,1704ff1f33635032.jpg,163,286,819,819,Cat,0.8586772680282593
149,17d7f8737e8ae336.jpg,49,0,73,49,Person,0.8984711170196533
150,185f9b8a12b4d5ea.jpg,266,102,1003,839,Cat,0.9348422884941101
151,185f9b8a12b4d5ea.jpg,143,40,880,716,Dog,0.9900203943252563
152,188fef420caf6727.jpg,286,593,368,737,Person,0.9299530386924744
153,188fef420caf6727.jpg,593,430,696,532,Person,0.9217348098754883
154,188fef420caf6727.jpg,102,245,860,798,Person,0.9204486012458801
155,188fef420caf6727.jpg,102,348,512,798,Person,0.8934810757637024
156,188fef420caf6727.jpg,307,593,430,737,Person,0.8289276957511902
157,188fef420caf6727.jpg,266,532,389,757,Person,0.811244547367096
158,1a0d87a2c2f0b413.jpg,102,327,286,737,Person,0.9679740071296692
159,1a0d87a2c2f0b413.jpg,368,327,798,778,Person,0.9433847069740295
160,1a0d87a2c2f0b413.jpg,348,327,430,552,Person,0.918353796005249
